date,count,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,cost_google,cost_meta
2023-11-08,525,598.0,576.0,286.0,336.0,478.0,555.0,516.0,812127,0
2023-11-09,519,525.0,598.0,576.0,286.0,336.0,478.0,555.0,686411,0
2023-11-10,505,519.0,525.0,598.0,576.0,286.0,336.0,478.0,865900,0
2023-11-11,255,505.0,519.0,525.0,598.0,576.0,286.0,336.0,399045,0
2023-11-12,217,255.0,505.0,519.0,525.0,598.0,576.0,286.0,355873,0
2023-11-13,482,217.0,255.0,505.0,519.0,525.0,598.0,576.0,895773,0
2023-11-14,503,482.0,217.0,255.0,505.0,519.0,525.0,598.0,914510,0
2023-11-15,520,503.0,482.0,217.0,255.0,505.0,519.0,525.0,419316,0
2023-11-16,510,520.0,503.0,482.0,217.0,255.0,505.0,519.0,512278,0
2023-11-17,504,510.0,520.0,503.0,482.0,217.0,255.0,505.0,430062,0
2023-11-18,289,504.0,510.0,520.0,503.0,482.0,217.0,255.0,401130,0
2023-11-19,306,289.0,504.0,510.0,520.0,503.0,482.0,217.0,398602,0
2023-11-20,485,306.0,289.0,504.0,510.0,520.0,503.0,482.0,862843,0
2023-11-21,518,485.0,306.0,289.0,504.0,510.0,520.0,503.0,736666,0
2023-11-22,504,518.0,485.0,306.0,289.0,504.0,510.0,520.0,664467,0
2023-11-23,512,504.0,518.0,485.0,306.0,289.0,504.0,510.0,770460,0
2023-11-24,503,512.0,504.0,518.0,485.0,306.0,289.0,504.0,701662,0
2023-11-25,312,503.0,512.0,504.0,518.0,485.0,306.0,289.0,341143,0
2023-11-26,308,312.0,503.0,512.0,504.0,518.0,485.0,306.0,334439,0
2023-11-27,518,308.0,312.0,503.0,512.0,504.0,518.0,485.0,800982,0
2023-11-28,499,518.0,308.0,312.0,503.0,512.0,504.0,518.0,739267,0
2023-11-29,504,499.0,518.0,308.0,312.0,503.0,512.0,504.0,653103,0
2023-11-30,509,504.0,499.0,518.0,308.0,312.0,503.0,512.0,716132,0
2023-12-01,504,509.0,504.0,499.0,518.0,308.0,312.0,503.0,619730,0
2023-12-02,308,504.0,509.0,504.0,499.0,518.0,308.0,312.0,271907,0
2023-12-03,318,308.0,504.0,509.0,504.0,499.0,518.0,308.0,526195,0
2023-12-04,500,318.0,308.0,504.0,509.0,504.0,499.0,518.0,707722,0
2023-12-05,493,500.0,318.0,308.0,504.0,509.0,504.0,499.0,818306,0
2023-12-06,547,493.0,500.0,318.0,308.0,504.0,509.0,504.0,949232,0
2023-12-07,492,547.0,493.0,500.0,318.0,308.0,504.0,509.0,833125,0
2023-12-08,499,492.0,547.0,493.0,500.0,318.0,308.0,504.0,609600,0
2023-12-09,363,499.0,492.0,547.0,493.0,500.0,318.0,308.0,545541,0
2023-12-10,345,363.0,499.0,492.0,547.0,493.0,500.0,318.0,551841,0
